iteration,train_acc,train_loss,val_acc,val_loss,test_acc,test_f1,epochs,temperature,macro_precision,ICGC_acc,ICGC_F1,ICGC_macro_precision,ACC,F1,precision_score,recall_score
0,tensor(0.9932),tensor(0.0248),0.9646376967430115,0.20633305609226227,0.9739130139350891,0.9730069041252136,38,1.4252,0.96891401,0.965279429,0.800121427,0.804387084,0.973913043,0.973837492,0.974352088,0.973913043
1,tensor(0.9882),tensor(0.0391),0.961739123,0.217061788,0.96985507,0.967624962,20,1.3795,0.961527214,0.954815696,0.793302536,0.798874896,0.969855072,0.969710983,0.970894823,0.969855072
2,tensor(0.9882),tensor(0.0377),0.961739123,0.224511847,0.970434785,0.968306005,21,1.4038,0.963320211,0.954458977,0.793562353,0.799133687,0.970434783,0.970291846,0.971037031,0.970434783
3,tensor(0.9857),tensor(0.0396),0.963478267,0.227511495,0.967536211,0.9635005,20,1.3819,0.957839373,0.960285375,0.796249986,0.799544796,0.967536232,0.96723892,0.968045164,0.967536232
4,tensor(0.9884),tensor(0.0303),0.966376841,0.214292094,0.970434785,0.967498481,28,1.477,0.96167761,0.958977408,0.797460616,0.804472882,0.970434783,0.97022812,0.970890481,0.970434783
5,tensor(0.9892),tensor(0.0320),0.962898552,0.22032243,0.968695641,0.965386629,30,1.3023,0.960736636,0.963258026,0.796800792,0.797950829,0.968695652,0.968556887,0.969094105,0.968695652
6,tensor(0.9901),tensor(0.0300),0.964637697,0.231204093,0.972753644,0.970387876,24,1.4802,0.965507247,0.95921522,0.796932399,0.803040374,0.972753623,0.972632622,0.973015838,0.972753623
7,tensor(0.9880),tensor(0.0343),0.964057982,0.21488677,0.968115926,0.96474129,29,1.3555,0.958923057,0.948751486,0.788386166,0.794121587,0.968115942,0.96793274,0.968542103,0.968115942
8,tensor(0.9930),tensor(0.0213),0.966376841,0.211377382,0.968695641,0.966271043,33,1.4474,0.961403593,0.963020214,0.799972236,0.804583076,0.968695652,0.968574183,0.969224239,0.968695652
9,tensor(0.9874),tensor(0.0389),0.960579693,0.2257099,0.971594214,0.969127297,20,1.4053,0.964698647,0.961950059,0.796205103,0.79765616,0.971594203,0.97149015,0.972085019,0.971594203
